split name,split year,count unique key
Microsoft,1987,1
Apple,1988,4
Apple,1989,1
Microsoft,1991,1
Microsoft,1992,1
Microsoft,1994,4
Microsoft,1995,5
Microsoft,1996,8
Apple,1997,2
Microsoft,1997,8
Amazon,1998,5
Microsoft,1998,5
Amazon,1999,9
Apple,1999,2
Microsoft,1999,14
Apple,2000,3
Microsoft,2000,9
Amazon,2001,2
Apple,2001,4
Google,2001,2
Microsoft,2001,7
Apple,2002,6
Microsoft,2002,7
Google,2003,6
Microsoft,2003,6
Amazon,2004,1
Google,2004,5
Microsoft,2004,4
Amazon,2005,4
Apple,2005,2
Google,2005,9
Meta,2005,1
Microsoft,2005,10
Amazon,2006,2
Apple,2006,2
Google,2006,10
Microsoft,2006,18
Amazon,2007,2
Google,2007,16
Meta,2007,1
Microsoft,2007,16
Amazon,2008,7
Apple,2008,1
Google,2008,2
Meta,2008,1
Microsoft,2008,16
Amazon,2009,3
Apple,2009,2
Google,2009,6
Meta,2009,1
Microsoft,2009,5
Amazon,2010,6
Apple,2010,7
Google,2010,26
Meta,2010,10
Microsoft,2010,3
Amazon,2011,5
Apple,2011,2
Google,2011,26
Meta,2011,11
Microsoft,2011,4
Amazon,2012,5
Apple,2012,4
Google,2012,11
Meta,2012,10
Microsoft,2012,6
Amazon,2013,4
Apple,2013,13
Google,2013,18
Meta,2013,10
Microsoft,2013,8
Amazon,2014,5
Apple,2014,9
Google,2014,34
Meta,2014,9
Microsoft,2014,10
Amazon,2015,9
Apple,2015,12
Google,2015,15
Meta,2015,6
Microsoft,2015,19
Amazon,2016,7
Apple,2016,8
Google,2016,17
Meta,2016,7
Microsoft,2016,9
Amazon,2017,12
Apple,2017,12
Google,2017,11
Meta,2017,3
Microsoft,2017,9
Amazon,2018,4
Apple,2018,8
Google,2018,10
Meta,2018,5
Microsoft,2018,17
Amazon,2019,9
Apple,2019,8
Google,2019,8
Meta,2019,7
Microsoft,2019,9
Amazon,2020,2
Apple,2020,9
Google,2020,8
Meta,2020,7
Microsoft,2020,8
Amazon,2021,6
Apple,2021,2
Google,2021,5
Meta,2021,6
Microsoft,2021,14
Amazon,2022,5
Apple,2022,2
Google,2022,8
Meta,2022,2
Microsoft,2022,4